method,model,popt,vmin,fcalls
NM,e1,"[0.5696512641868539, 2.685590310193338, 2.50183061099876]",0.026311029601170977,111
NM,g1e1,"[0.19820196201685636, 3.6265106577985358, 0.31858615128204204, 2.3552105189640757, 2.506189204126575]",0.015406088281801119,278
Kriging EI,e1,"[0.591687937677135, 2.7211482300008245, 2.488651387101381]",0.03980448993896461,68
Kriging EI,g1e1,"[0.20674395875626259, 3.2765203187259186, 0.3121846731814747, 2.379096692105472, 2.5020843611094197]",0.018267188594314233,359
